# stan_version_major = 2
# stan_version_minor = 29
# stan_version_patch = 1
# model = tmphate1ayn_model
# start_datetime = 2022-03-05 18:14:52 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/4p/0qz7dp9d0z77llrj1f8zbg1w0000gn/T/tmpc6s5sv7i/zicss1ai.json
# init = 2 (Default)
# random
#   seed = 12460
# output
#   file = /Users/patryktomaszewski/studies/bachelor1/data analitycs/Data-Analytics-labs/Lab 1 - Python review/results/bern_1-20220305191452_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.29.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 1.19463
# Diagonal elements of inverse mass matrix:
# 0.210397
-12.5183,1,1.19463,1,1,0,12.5521,0.650077
-12.6873,0.87496,1.19463,2,3,0,13.1349,0.696573
-13.2969,0.932006,1.19463,2,3,0,13.2999,0.761032
-12.5713,1,1.19463,1,3,0,13.0885,0.671475
-12.7304,0.980119,1.19463,2,3,0,12.7546,0.555486
-12.7304,0.437857,1.19463,1,3,0,14.6157,0.555486
-12.5094,1,1.19463,1,3,0,12.6591,0.620086
-13.426,0.799918,1.19463,2,3,0,13.7873,0.770124
-13.4762,0.98745,1.19463,1,1,0,13.7241,0.773448
-13.0618,1,1.19463,1,1,0,13.4568,0.741759
-12.871,1,1.19463,2,3,0,13.0848,0.722151
-12.6187,1,1.19463,2,3,0,12.8056,0.577706
-12.9941,0.941293,1.19463,2,3,0,13.0365,0.735327
-13.268,0.928694,1.19463,1,1,0,13.3627,0.758867
-12.9672,1,1.19463,1,1,0,13.2704,0.73263
-12.9951,0.992276,1.19463,1,1,0,13.1274,0.735423
-13.0583,0.98272,1.19463,1,1,0,13.191,0.741441
-12.7937,1,1.19463,1,1,0,13.03,0.712537
-13.3084,0.866205,1.19463,1,1,0,13.3309,0.761873
-12.5453,0.960772,1.19463,1,3,0,13.2886,0.599474
-12.9152,0.879204,1.19463,1,1,0,12.9153,0.52852
-12.5199,0.827293,1.19463,2,3,0,13.6451,0.611735
-12.8284,0.912889,1.19463,1,3,0,12.9175,0.717007
-12.5475,0.974713,1.19463,2,3,0,12.8864,0.598612
-12.5077,0.999044,1.19463,2,3,0,12.5536,0.64101
-14.7128,0.540705,1.19463,1,3,0,15.0522,0.832703
-14.3073,1,1.19463,1,1,0,14.9865,0.816747
-12.6051,0.939594,1.19463,2,3,0,14.7657,0.680254
-13.0575,0.922737,1.19463,2,3,0,13.2069,0.511753
-12.6403,0.965363,1.19463,1,3,0,13.2055,0.687882
-12.928,0.918126,1.19463,1,1,0,12.9385,0.728521
-13.367,0.962621,1.19463,2,3,0,13.4237,0.766077
-12.8156,1,1.19463,2,3,0,13.238,0.715394
-13.5613,0.921789,1.19463,2,3,0,13.6905,0.465452
-12.6003,1,1.19463,1,1,0,13.2223,0.582266
-12.6029,0.83638,1.19463,2,3,0,13.2567,0.58161
-12.9467,0.948068,1.19463,2,3,0,12.9559,0.524591
-12.6157,0.970482,1.19463,1,3,0,13.0693,0.682688
-12.6947,0.976181,1.19463,1,1,0,12.7179,0.697821
-12.6947,0.90823,1.19463,1,1,0,12.9475,0.697821
-12.6129,1,1.19463,2,3,0,12.6685,0.57909
-13.515,0.727221,1.19463,1,1,0,13.5157,0.469142
-12.7793,1,1.19463,1,1,0,13.2905,0.547524
-13.2334,0.85099,1.19463,1,1,0,13.2858,0.49379
-12.7889,1,1.19463,2,3,0,13.1303,0.711896
-12.5044,0.998466,1.19463,1,3,0,12.7219,0.63447
-12.6236,0.967616,1.19463,1,3,0,12.6359,0.57653
-12.5602,1,1.19463,1,1,0,12.6137,0.594042
-12.7371,0.972082,1.19463,2,3,0,12.7599,0.704545
-13.1959,0.877569,1.19463,1,1,0,13.2126,0.753249
-12.7512,1,1.19463,2,3,0,13.0691,0.552003
-12.7181,1,1.19463,2,3,0,12.809,0.557609
-13.8458,0.670113,1.19463,1,1,0,13.8562,0.444438
-12.878,1,1.19463,1,1,0,13.5537,0.533366
-12.6178,1,1.19463,1,1,0,12.8031,0.577913
-12.5042,0.909896,1.19463,2,3,0,13.0136,0.633009
-12.507,0.998427,1.19463,2,3,0,12.5111,0.640003
-13.1746,0.838202,1.19463,1,3,0,13.2342,0.751514
-13.2463,0.981221,1.19463,1,1,0,13.425,0.757211
-13.294,0.987627,1.19463,1,1,0,13.4968,0.760816
-12.6512,0.92329,1.19463,2,3,0,13.9481,0.690029
-13.0901,0.879335,1.19463,1,1,0,13.0948,0.744309
-12.5122,0.901792,1.19463,2,3,0,13.887,0.645573
-12.6688,0.951631,1.19463,2,3,0,12.7728,0.566817
-12.5553,1,1.19463,1,1,0,12.6367,0.595744
-12.7888,0.921984,1.19463,1,1,0,12.7916,0.546063
-13.2504,0.94482,1.19463,2,3,0,13.3053,0.492174
-12.6203,1,1.19463,1,1,0,13.033,0.577313
-13.8251,0.653137,1.19463,1,1,0,13.8251,0.445882
-13.0696,1,1.19463,1,1,0,13.6784,0.510432
-12.5399,0.966682,1.19463,2,3,0,13.2577,0.660826
-12.6536,0.965877,1.19463,2,3,0,12.729,0.569928
-13.0965,0.93563,1.19463,2,3,0,13.114,0.507544
-13.0965,0.680346,1.19463,1,1,0,13.9047,0.507544
-12.795,1,1.19463,1,1,0,13.058,0.545122
-13.0125,0.9257,1.19463,1,1,0,13.0885,0.516794
-13.0257,0.995329,1.19463,1,1,0,13.2023,0.515299
-12.6584,0.944627,1.19463,2,3,0,13.3469,0.691404
-13.0502,0.833141,1.19463,2,3,0,13.7044,0.512556
-12.5735,0.979046,1.19463,1,3,0,13.0806,0.67209
-12.776,0.937888,1.19463,2,3,0,12.9341,0.54804
-12.776,0.580234,1.19463,1,1,0,13.7765,0.54804
-12.5406,0.756156,1.19463,2,3,0,13.9887,0.661115
-12.9257,0.912438,1.19463,1,3,0,12.9286,0.728274
-12.5138,0.984784,1.19463,1,3,0,12.8797,0.616062
-12.7196,0.941441,1.19463,1,3,0,12.7752,0.701856
-12.5048,0.988474,1.19463,2,3,0,12.7755,0.627484
-12.5338,0.991793,1.19463,1,3,0,12.5394,0.658275
-12.7465,0.887571,1.19463,2,3,0,13.1078,0.552771
-12.5073,0.969955,1.19463,2,3,0,12.899,0.640435
-12.9677,0.886363,1.19463,1,3,0,13.0016,0.732677
-13.4664,0.875224,1.19463,1,1,0,13.5246,0.77281
-13.4664,0.579451,1.19463,1,1,0,15.4079,0.77281
-13.4664,0.626681,1.19463,1,1,0,15.1113,0.77281
-12.7048,1,1.19463,1,1,0,13.2517,0.699493
-12.5212,1,1.19463,1,3,0,12.6476,0.651891
-14.3589,0.61157,1.19463,1,3,0,14.5597,0.818917
-13.5143,1,1.19463,1,1,0,14.2816,0.775891
-12.6258,1,1.19463,1,3,0,13.261,0.684881
-13.78,0.720046,1.19463,1,3,0,14.1325,0.449069
-12.5526,1,1.19463,1,3,0,13.3585,0.596697
-12.9383,0.87389,1.19463,2,3,0,13.1804,0.729621
-12.5075,0.98657,1.19463,2,3,0,12.9949,0.622403
-12.6852,0.950939,1.19463,2,3,0,12.7757,0.69622
-12.6462,1,1.19463,1,1,0,12.7112,0.689064
-12.6692,0.997682,1.19463,2,3,0,12.7097,0.693382
-12.8214,0.955733,1.19463,1,1,0,12.8503,0.716126
-12.6875,1,1.19463,1,1,0,12.8177,0.696616
-12.7945,0.750232,1.19463,2,3,0,14.2625,0.712638
-12.6074,1,1.19463,2,3,0,12.743,0.580466
-14.4827,0.567862,1.19463,1,3,0,15.2301,0.823953
-13.4967,1,1.19463,1,1,0,14.3513,0.774769
-13.2009,0.873788,1.19463,2,3,0,15.0902,0.753646
-12.549,1,1.19463,1,3,0,13.015,0.664302
-12.5415,0.949014,1.19463,2,3,0,12.8248,0.661492
-14.0541,0.649465,1.19463,1,3,0,14.2896,0.43054
-13.0194,0.911748,1.19463,1,3,0,14.7221,0.73779
-13.4199,0.959651,1.19463,2,3,0,13.4207,0.477013
-12.8085,1,1.19463,2,3,0,13.3145,0.714482
-12.5063,0.975669,1.19463,2,3,0,12.9434,0.638938
-12.512,0.999192,1.19463,2,3,0,12.5128,0.617569
-14.458,0.573854,1.19463,1,3,0,14.5357,0.406276
-14.3306,1,1.19463,2,3,0,15.0386,0.413598
-13.2761,1,1.19463,1,1,0,14.1219,0.489766
-12.8003,1,1.19463,1,1,0,13.1644,0.544323
-12.8396,0.98619,1.19463,1,1,0,12.9373,0.538627
-12.6858,1,1.19463,1,1,0,12.8305,0.563498
-13.343,0.901994,1.19463,2,3,0,13.3601,0.483695
-13.343,0.170843,1.19463,1,1,0,16.8316,0.483695
-12.5427,0.990276,1.19463,1,3,0,13.2476,0.661949
-12.617,0.976868,1.19463,1,1,0,12.6214,0.682979
-12.5462,1,1.19463,2,3,0,12.5975,0.599108
-12.5887,0.985487,1.19463,1,1,0,12.598,0.58538
-12.5887,0.818132,1.19463,1,3,0,13.2997,0.58538
-12.5055,0.647443,1.19463,2,3,0,14.4819,0.637434
-16.8221,0.487503,1.19463,2,3,0,17.6399,0.889454
-18.2306,0.835695,1.19463,1,1,0,18.6993,0.913671
-12.8984,0.916324,1.19463,1,3,0,17.4637,0.725284
-12.6657,1,1.19463,1,1,0,12.8496,0.692757
-12.6054,1,1.19463,1,1,0,12.6699,0.680341
-14.189,0.598234,1.19463,2,3,0,15.2435,0.422075
-13.6506,1,1.19463,1,1,0,14.3362,0.458563
-13.4256,1,1.19463,1,1,0,13.8663,0.476533
-12.9276,1,1.19463,2,3,0,13.2884,0.728483
-12.5067,0.941056,1.19463,2,3,0,13.2513,0.623513
-12.5067,0.597858,1.19463,1,3,0,13.7725,0.623513
-12.5226,0.994669,1.19463,1,1,0,12.5227,0.610114
